"number","station_name","lat","lng","bike_stands","average_bike_stands","average_bikes"
1,"00001 - POIDS DE L'HUILE",43.60419,1.445475,19,11.2046362909672,7.4396482813749
2,"00002 - LAFAYETTE",43.604885,1.445306,24,12.1334932054357,11.3069544364508
3,"00003 - ALSACE - LORRAINE - POMME",43.603302,1.445454,18,9.51318944844125,7.378896882494
4,"00004 - GAMBETTA - SAINTE - URSULE",43.602671,1.442031,20,12.2765787370104,6.71622701838529
5,"00005 - MARENGO - LEDUC",43.611386,1.456729,19,11.4940047961631,5.79456434852118
6,"00006 - LOIS - CAPITOL",43.605161,1.442323,18,10.9152677857714,6.36051159072742
7,"00007 - PLACE VICTOR HUGO",43.605777,1.446507,25,11.9840127897682,12.445243804956
8,"00008 - VIDAL - SAINT - JEROME",43.603205,1.448118,25,13.7058353317346,9.66986410871303
9,"00009 - ROQUEMAUREL - MAILLARD",43.596069,1.410505,18,13.2230215827338,4.64028776978417
10,"00010 - PLACE ESQUIROL",43.600348,1.444659,44,29.7729816147082,12.5603517186251
11,"00011 - PLACE DE LA DAURADE",43.601888,1.440368,23,14.1199040767386,8.21183053557154
12,"00012 - PARGAMINIERES - LAKANAL",43.60459,1.44002,11,6.10231814548361,3.88249400479616
13,"00013 - LOIS - ESQUILE",43.606146,1.44135,15,8.97202238209433,4.86730615507594
14,"00014 - PERIGORD",43.60742,1.444699,17,8.59152677857714,6.60511590727418
15,"00015 - PORT SAINT SAUVEUR - SEEL",43.596411,1.456584,20,12.0975219824141,6.42845723421263
16,"00016 - STRASBOURG - BAYARD",43.607847,1.446666,21,12.1159072741807,6.94884092725819
17,"00017 - STRASBOURG - AUSTERLITZ",43.606499,1.44769,23,9.40047961630695,12.2709832134293
18,"00018 - STRASBOURG - JAURES",43.606346,1.44813,24,14.8089528377298,7.16866506794564
19,"00019 - CARNOT - PERI",43.605503,1.449267,24,13.3285371702638,8.41007194244604
20,"00020 - CARNOT - TROIS JOURNEES",43.604677,1.449586,26,15.9992006394884,8.96163069544365
21,"00021 - CARNOT - LABEDA",43.604079,1.450158,25,16.0223820943245,7.50199840127898
22,"00022 - CARNOT - ROLAND",43.602914,1.451719,20,15.0335731414868,4.53717026378897
23,"00023 - CARNOT - IDRAC",43.601372,1.452038,26,19.876898481215,4.55235811350919
24,"00024 - PLACE SAINT-ETIENNE",43.600055,1.449273,22,11.652278177458,9.97761790567546
25,"00025 - PLACE ROUAIX",43.599525,1.445544,18,9.85611510791367,6.89768185451639
26,"00026 - DALBADE - PARADOUX",43.597941,1.443002,22,14.7082334132694,5.19504396482814
27,"00027 - TOUNIS - PONT NEUF",43.598966,1.440387,22,13.2406075139888,8.58992805755396
28,"00028 - PLACE SAINT-PIERRE",43.603228,1.436034,22,10.9064748201439,6.45563549160671
29,"00029 - VALADE",43.605031,1.437386,21,14.6722621902478,5.84732214228617
30,"00030 - PLACE ANATOLE FRANCE",43.606241,1.438341,25,18.9352517985612,4.20303756994404
31,"00031 - PLACE DU PEYROU",43.607369,1.439453,20,13.0639488409273,3.83293365307754
32,"00032 - MUSEE SAINT-RAYMOND",43.607608,1.441304,12,6.62509992006395,3.29096722621902
33,"00033 - SAINT - BERNARD - BERALDI",43.608605,1.4436,15,10.2022382094325,4.78577138289369
34,"00034 - STRASBOURG - BOSC",43.609766,1.445681,22,18.1958433253397,3.75779376498801
35,"00035 - PLACE JEANNE D'ARC",43.609602,1.446881,25,20.9712230215827,3.65147881694644
36,"00036 - PLACE ROBERT SCHUMAN",43.609622,1.449431,19,13.1950439648281,5.57314148681055
37,"00037 - STE - LUCIE - ARCS ST - CYPRIEN",43.593516,1.430039,18,10.207034372502,7.03597122302158
38,"00038 - JAURES - BACHELIER",43.607222,1.451244,31,20.9464428457234,8.35971223021583
39,"00039 - PLACE DE DAMLOUP",43.605855,1.452805,19,14.3605115907274,4.4572342126299
40,"00040 - COLOMBETTE - MAURY",43.604565,1.453659,16,11.6546762589928,4.04716227018385
41,"00041 - RIQUET - CAMICHEL",43.602708,1.454367,21,15.2741806554756,4.83133493205436
42,"00042 - ESCANDE - DAURIAC",43.601607,1.456158,20,14.4764188649081,3.88649080735412
43,"00043 - PLACE DUPUY",43.600188,1.454764,22,13.2877697841727,6.08473221422862
44,"00044 - PLACE SAINT - JACQUES",43.597825,1.451609,22,16.3349320543565,3.2845723421263
45,"00045 - OZENNE - NAZARETH",43.596314,1.447081,19,13.1750599520384,4.25579536370903
46,"00046 - PLACE DES CARMES",43.597364,1.445314,20,13.1942446043165,6.62270183852918
47,"00047 -  LANGUEDOC - NAZARETH",43.595247,1.445416,30,24.0471622701839,4.80415667466027
48,"00048 - PLACE DU SALIN",43.594461,1.443822,32,25.9152677857714,4.78257394084732
49,"00049 - PLACE DU PONT - NEUF",43.599598,1.440942,24,15.2549960031974,7.75219824140687
50,"00050 - HAURIOU - GARONNETTE",43.594359,1.44095,23,15.7817745803357,5.90407673860911
52,"00052 - DUPORTAL - RAYMOND V",43.608571,1.434762,21,13.2813749000799,7.63469224620304
53,"00053 - PLACE SAINT-JULIEN",43.608639,1.436965,25,17.7234212629896,4.85211830535572
54,"00054 - CHAINE - TIERCERETTES",43.608674,1.439461,17,12.5579536370903,4.05675459632294
55,"00055 - ST-SERNIN - GATIEN - ARNOULT",43.609022,1.441105,15,9.23421262989608,3.09272581934452
56,"00056 - SAINT-SERNIN - MERLY",43.609191,1.442749,15,10.5347721822542,3.43165467625899
57,"00057  ARCOLE - MERLY",43.6103,1.442975,15,10.0383693045564,4.56514788169464
58,"00058  ARCOLE  - CONCORDE",43.610663,1.443637,25,19.0511590727418,4.88329336530775
59,"00059 - CONCORDE - PRINTEMPS",43.613442,1.446395,18,11.101518784972,5.31574740207834
60,"00060 - PLACE ROQUELAINE",43.612615,1.448286,24,17.6027178257394,4.3101518784972
61,"00061 - MATABIAU GARE - BONREPOS",43.611052,1.452593,40,23.8041566746603,13.1646682653877
62,"00062 - JAURES - BONREPOS",43.609216,1.453549,24,17.8896882494005,4.86650679456435
63,"00063 - PISCINE LEO LAGRANGE",43.607468,1.454329,22,16.7234212629896,4.41886490807354
64,"00064 - PERI - MERCADIER",43.606208,1.455005,24,17.9840127897682,4.59392486011191
65,"00065 - VERDIER - GRAND ROND",43.596904,1.452596,27,20.8928856914468,5.31654676258993
66,"00066 - JARDIN ROYAL",43.596419,1.45104,23,15.9008792965627,5.1726618705036
67,"00067 - GUESDE - OZENNE",43.594812,1.449176,22,17.8041566746603,3.76099120703437
68,"00068  PALAIS DE JUSTICE - METRO",43.592782,1.444726,16,9.31974420463629,5.2414068745004
69,"00069 - FEUGA - PONT SAINT - MICHEL",43.592388,1.442463,18,12.5555555555556,4.57553956834532
70,"00070 - PLACE DU FER A CHEVAL",43.592366,1.434121,18,9.91526778577138,7.67066346922462
71,"00071 - FER A CHEVAL - COURS DILLON",43.593227,1.435062,22,15.2613908872902,5.49560351718625
72,"00072 - FITTE -  MAGNE",43.59522,1.432503,20,11.4828137490008,7.47162270183853
73,"00073 - FITTE - TEINTURIERS",43.596294,1.432158,16,7.18705035971223,8.4572342126299
74,"00074 - LAGANNE - TEINTURIERS",43.596667,1.436229,18,12.4300559552358,5.42685851318945
75,"00075 - CHATEAU D'EAU",43.59859,1.436594,21,13.7482014388489,6.61151079136691
76,"00076 - RECLUSANE - PLACE OLIVIER",43.598478,1.434043,16,8.30615507593925,6.84412470023981
77,"00077 - SAINT-CYPRIEN - METRO VIÉ",43.59778,1.431619,13,6.18225419664269,6.3796962430056
78,"00078 - ST - CYPRIEN - MÉTRO DARRÉ",43.598124,1.431382,17,8.19984012789768,7.05515587529976
79,"00079 - VIGUERIE -  LANGE",43.601016,1.434129,20,14.3101518784972,5.13749000799361
80,"00080 - FITTE - VARSI",43.599637,1.429338,22,12.0807354116707,9.63389288569145
81,"00081 - JARDIN RAYMOND VI",43.599797,1.429521,33,23.7058353317346,8.00159872102318
82,"00082 - SÉJOURNÉ - PT DES CATALANS",43.605804,1.428054,21,11.5083932853717,8.65387689848122
83,"00083 - SÉJOURNÉ - AMIDONNIERS",43.605687,1.428225,17,6.91926458832934,9.64508393285372
84,"00084 - BRIENNE - MANUFACTURE",43.605381,1.432485,24,15.2022382094325,7.71942446043165
85,"00085 - BARCELONE - LECLERC",43.606847,1.430615,22,16.2318145483613,5.31734612310152
86,"00086 - HÉRACLÈS - BÉARNAIS",43.608004,1.428585,20,8.95123900879297,8.81694644284572
87,"00087 - LASCROSSES - LECLERC",43.609277,1.432157,25,15.6027178257394,8.05915267785771
